Place,Address,IsClosed,Fee,MinFee,MaxFee,Start,End,Latitude,Longitude,Expected Duration,Historical,Nature,Religious,Art,Activities,Entertainment,Culture,Image,,,,,Description
Yap-San Diego Ancestral House,"155 Mabini St, Cebu City, 6000 Cebu",0,,50,100,9:00:00,19:00:00,10.29927053,123.9039525,< 1 hour,1,0,0,0,0,0,0,"/location_images/Yap-San_Diego_Ancestral_House/Yap-San_Diego_Ancestral_House.jpg,/location_images/Yap-San_Diego_Ancestral_House/Yap-San_Diego_Ancestral_House_99F6WSP.jpg,/location_images/Yap-San_Diego_Ancestral_House/Yap-San_Diego_Ancestral_House_qkWA53W.jpg",,,,,"The Yap-San Diego Ancestral House is a captivating piece of living history located in Cebu City. This well-preserved ancestral home offers a captivating journey into the past, providing visitors with a window into the lifestyle of a prosperous Filipino-Chinese family during the Spanish colonial era. The house is an architectural masterpiece, showcasing the intricate details of 17th-century Filipino-Spanish design with its wooden lattice-work and Capiz shell windows.

As you step inside, you'll find a treasure trove of antique furniture, art, and memorabilia that tell the story of Cebu's rich cultural heritage. The Yap-San Diego Ancestral House is not just a museum but a living testament to the vibrant traditions and customs of a bygone era. It's a must-visit destination for history buffs, architecture enthusiasts, and anyone seeking to immerse themselves in the charm and opulence of Cebu's colonial past."
Island Eco Tourism Park,"Sabang, Asinan, Lapu-Lapu City, 6015 Cebu",0,,20,260,0:00:00,23:59:59,10.24823498,124.048425,-,0,0,0,0,1,1,0,"/location_images/Island_Eco_Tourism_Park/Island_Eco_Tourism_Park.JPG,/location_images/Island_Eco_Tourism_Park/Island_Eco_Tourism_Park_h2z9OYk.JPG",,,,,"Island Eco Tourism Park is a pristine natural haven nestled in the heart of Cebu's lush landscapes. This eco-friendly park offers a serene escape from the hustle and bustle of urban life, making it an ideal destination for nature lovers and outdoor enthusiasts. The park boasts a range of activities for visitors to enjoy, including zip-lining through the treetops, hiking along scenic trails, and bird-watching amidst the abundant flora and fauna.

Surrounded by the beauty of nature, Island Eco Tourism Park provides a perfect opportunity to reconnect with the environment. Whether you're seeking adventure, relaxation, or simply a peaceful getaway, this park offers a refreshing and eco-conscious experience, making it a must-visit destination for those looking to immerse themselves in Cebu's natural wonders."
Halad Museum,"J and J Building, Dionisio Jakosalem Street corner V. Gullas Street, Cebu City, Cebu ",1,10,,,9:00:00,17:00:00,10.29703306,123.9020852,1 hour,1,0,0,1,0,0,1,"/location_images/Halad_Museum/Halad_Museum.jpg,/location_images/Halad_Museum/Halad_Museum_LUUZdEa.jpg",,,,,"The Halad Museum is a cultural gem, that celebrates the rich traditions and heritage of the Cebuano people. This museum is a captivating tribute to the vibrant customs of Cebu, particularly its music, dance, and traditional rituals. Inside, visitors can explore exhibits that showcase the various aspects of Cebuano culture, including colorful costumes, musical instruments, and artifacts related to religious festivals and celebrations.

Halad Museum serves as a valuable resource for those interested in understanding the cultural depth and diversity of Cebu. It offers an educational and immersive experience that allows guests to appreciate the artistry and passion that define the Cebuano way of life. Whether you're a cultural enthusiast or simply curious about the traditions of Cebu, the Halad Museum provides a fascinating and enlightening journey into the heart of Filipino heritage."
BPI Museum,"P. Burgos Street, Inside BPI bank, Cebu City, PH 6000",0,0,,,9:00:00,16:00:00,10.29358104,123.9025823,1-2 hours,1,0,0,0,0,0,0,"/location_images/BPI_Museum/BPI_Museum.jpg,/location_images/BPI_Museum/BPI_Museum.jpeg",,,,,"The BPI Museum in Cebu is a fascinating institution that offers a unique perspective on the history of banking and finance in the Philippines. Housed within the Bank of the Philippine Islands (BPI) building, the museum presents a comprehensive journey through the evolution of currency, banking practices, and the pivotal role that BPI has played in the country's economic development.

Inside the BPI Museum, visitors can explore a wealth of historical artifacts, old banking equipment, vintage banknotes, and engaging interactive exhibits. These displays provide valuable insights into how the Philippine economy has evolved over the years and how banking institutions like BPI have adapted to meet the needs of a changing society. Whether you have a keen interest in finance or simply want to gain a better understanding of the Philippines' economic history, the BPI Museum in Cebu offers an informative and enlightening experience."
Jumalon Butterfly Sanctuary And Art Gallery,"J.N. Jumalon Street, Cebu City 6000 Philippines",0,,50,100,9:00:00,17:00:00,10.29065716,123.8644892,1-2 hours,0,1,0,1,0,0,0,"/location_images/Jumalon_Butterfly_Sanctuary_And_Art_Gallery/Jumalon_Butterfly_Sanctuary__wN8tuzl.jpg,/location_images/Jumalon_Butterfly_Sanctuary_And_Art_Gallery/Jumalon_Butterfly_Sanctuary__aUkGspC.jpg",,,,,"The Jumalon Butterfly Sanctuary and Art Gallery in Cebu is a truly enchanting destination that seamlessly blends nature and art. This unique attraction is home to a thriving butterfly sanctuary, where visitors can witness the colorful and delicate creatures in their natural habitat. As you wander through the sanctuary, you'll be surrounded by a kaleidoscope of fluttering butterflies, creating a serene and magical atmosphere.

In addition to the butterfly sanctuary, the Jumalon facility houses an art gallery showcasing the works of the late Prof. Julian Jumalon, a skilled artist and butterfly enthusiast. The gallery features a remarkable collection of artworks created using butterfly wings, showcasing the artist's creative talent and dedication to conservation."
Heritage of Cebu Monument,"Sikatuna St, Cebu City, 6000 Cebu",0,0,,,0:00:00,0:00:00,10.29887189,123.9036403,1-2 hours,1,0,0,0,0,0,0,"/location_images/Heritage_of_Cebu_Monument/Heritage_of_Cebu_Monument.jpg,/location_images/Heritage_of_Cebu_Monument/Heritage_of_Cebu_Monument_qg6m2I0.jpg",,,,,"The Heritage of Cebu Monument stands as a striking tribute to the rich history and culture of Cebu City. Located in the heart of the city, this impressive monument is a visual narrative of significant events and personalities that have shaped Cebu's identity. Intricately sculpted and beautifully crafted, the monument's sculptures and artwork depict key historical moments, from the arrival of Ferdinand Magellan to the city's role as a hub of trade and culture.

As you stroll around the Heritage of Cebu Monument, you'll be immersed in a captivating storytelling experience, surrounded by skillfully crafted figures and scenes that transport you through time. It's not just a work of art but also an educational and historical landmark, making it a must-visit destination for anyone interested in Cebu's vibrant heritage and the pivotal role it has played in Philippine history."
Kabang Falls (Budlaan Falls),"Apas, Cebu City, 6000 Cebu",0,0,,,0:00:00,23:59:59,10.38679093,123.8834885,1-3 hours,0,1,0,0,1,0,0,/location_images/Kabang_Falls_(Budlaan_Falls)/Kabang_Falls_Budlaan_Falls.jpg,,,,,"Kabang Falls, also known as Budlaan Falls, is a hidden gem nestled amidst the lush mountains of Cebu, Philippines. This natural wonder offers a refreshing escape from the urban hustle and bustle, making it a beloved spot for hikers and nature enthusiasts. The falls are characterized by cascading water over rocky terrain into cool, crystal-clear pools, creating an inviting oasis amid the verdant surroundings.

To reach Kabang Falls, adventurers embark on a scenic hike through pristine forests, traversing rugged trails and crossing streams. The journey itself is an exhilarating experience that rewards visitors with the serenity and natural beauty of the falls at the end. "
Cebu Happy World Museum,"Lot 2-A-3, Brgy. Gabi, Cordova, 6007",0,,250,350,9:00:00,20:00:00,10.26156886,123.9591311,1-2 hours,0,0,0,1,0,1,0,"/location_images/Cebu_Happy_World_Museum/Cebu_Happy_World_Museum.jpg,/location_images/Cebu_Happy_World_Museum/Cebu_Happy_World_Museum_lhdgX50.jpg,/location_images/Cebu_Happy_World_Museum/Cebu_Happy_World_Museum_RJZQBlS.jpg",,,,,"Cebu Happy World Museum is a delightful and quirky museum in Cebu City that promises a unique and interactive experience. Inside this museum, visitors encounter a world of optical illusions, 3D art, and whimsical exhibits designed to engage the imagination and create memorable photo opportunities. It's a place where you can step into fantastical scenes, interact with art installations, and become a part of the creative illusions, making it a fun and entertaining destination for families, friends, and anyone seeking a lighthearted and visually captivating adventure in Cebu."
Bagacay Point Lighthouse,"Liloan, 6002 Cebu",0,0,,,0:00:00,0:00:00,10.38332975,124.0185096,< 1 hour,1,0,0,0,0,0,0,/location_images/Bagacay_Point_Lighthouse/Bagacay_Point_Lighthouse.jpg,,,,,"The Bagacay Point Lighthouse in Cebu is a picturesque coastal landmark that offers stunning views of the surrounding seascape. This historic lighthouse stands tall against the backdrop of the azure waters of the Cebu Strait. Its prominent position on the coast not only serves as a navigational aid but also makes it a captivating spot for sightseeing and photography.

Visitors to the Bagacay Point Lighthouse can soak in the coastal breeze, enjoy panoramic vistas of the ocean, and relish the serene atmosphere. Whether you're a photography enthusiast or simply seeking a tranquil spot to appreciate the natural beauty of Cebu's coastline, the Bagacay Point Lighthouse is a must-visit destination that combines maritime history with scenic charm."
Cebu Metropolitan Cathedral,"6000 Mabini St, Cebu City, 6000 Cebu",0,0,,,8:00:00,17:00:00,10.29557509,123.9029957,1-2 hours,1,0,1,0,0,0,1,"/location_images/Cebu_Metropolitan_Cathedral/Cebu_Metropolitan_Cathedral.jpg,/location_images/Cebu_Metropolitan_Cathedral/Cebu_Metropolitan_Cathedral_yKdrFaU.jpg",,,,,"The Cebu Metropolitan Cathedral, often referred to as the Cebu Cathedral, is a stunning religious landmark located in the heart of Cebu City. This magnificent church stands as a symbol of the city's deep-rooted spirituality and rich history. With its impressive Gothic-inspired architecture and serene ambiance, it provides a serene space for worship, reflection, and cultural appreciation.

Visitors to the Cebu Metropolitan Cathedral can marvel at its intricate facade, towering spires, and beautifully adorned interiors. Whether you're a devout Catholic attending mass or simply interested in exploring Cebu's spiritual heritage, this cathedral offers a tranquil and historically significant destination in the bustling urban landscape of Cebu City."
D' Family Park,"M. Cuenco Ave., Talamban 6000 Cebu City, Philippines",0,,10,85,5:00:00,19:00:00,10.35850376,123.9107685,2-3 hours,0,0,0,0,1,1,0,/location_images/D'_Family_Park/D_Family_Park.png,,,,,"D' Family Park is a wonderful family-friendly destination situated in the vibrant city of Cebu. It offers a delightful escape from the hustle and bustle of urban life, making it an ideal spot for families and friends to unwind and enjoy quality time together. The park's lush green surroundings create a serene atmosphere, perfect for picnics, leisurely strolls, and outdoor recreation.

D' Family Park features a range of amenities and activities to cater to visitors of all ages. Children can have a blast in the playground, while families can bond over a game of mini-golf or other recreational options. With its friendly and welcoming ambiance, D' Family Park provides a relaxed setting for gatherings and celebrations, making it a favored spot for Cebuano families looking for a peaceful and enjoyable day out."
Crocolandia ,"Burgos St, Talisay, 6045 Cebu",0,,150,200,8:00:00,17:00:00,10.24649799,123.8339545,-,0,0,0,0,1,1,0,"/location_images/Crocolandia_/Crocolandia_.jpg,/location_images/Crocolandia_/Crocolandia__uGKxQAz.jpg",,,,,"Crocolandia, located in Cebu, is an exciting wildlife sanctuary that promises an up-close encounter with some of the region's most fascinating reptilian residents. This unique attraction offers an educational and thrilling experience for nature enthusiasts of all ages. Visitors can explore the sanctuary's well-maintained grounds and learn about various reptile species, including crocodiles, turtles, and snakes, in a safe and controlled environment.

One of the highlights of Crocolandia is the opportunity to observe these remarkable creatures up close, gaining insights into their behavior, habitats, and conservation efforts. The sanctuary also conducts educational programs and interactive presentations, making it an excellent place for families and school groups to learn about Cebu's diverse wildlife."
Sirao Garden,"Cebu City, 6000 Cebu",0,,80,100,8:00:00,18:00:00,10.40673627,123.86679,< 1 hour,0,1,0,0,0,0,0,"/location_images/Sirao_Garden/Sirao_Garden.jpg,/location_images/Sirao_Garden/Sirao_Garden_iFDkRYQ.jpg",,,,,"Sirao Garden, often referred to as the ""Little Amsterdam of Cebu,"" is a picturesque and colorful garden located in the mountainous region of Cebu, Philippines. This enchanting destination is celebrated for its stunning displays of vibrant flowers and whimsical sculptures, making it a popular spot for both nature lovers and photography enthusiasts.

As you wander through Sirao Garden, you'll be greeted by a breathtaking array of blossoms in various colors, creating a feast for the eyes. The garden is especially renowned for its fields of celosia flowers, which resemble vibrant plumes in shades of red, orange, and yellow. "
Millennium Park,"Marcelo Fernan Bridge, Lapu-Lapu City, 6015 Cebu",0,0,,,0:00:00,23:59:59,10.32489373,123.9680928,< 1 hour,0,0,0,0,1,1,0,"/location_images/Millennium_Park/Millennium_Park.jpg,/location_images/Millennium_Park/Millennium_Park_m9yDGx9.jpg",,,,,"Millennium Park, located in Cebu City, is a serene and picturesque urban oasis that provides a welcome escape from the bustling city life. This park is designed to commemorate the turn of the millennium and serves as a peaceful retreat where visitors can relax, enjoy the outdoors, and appreciate the beauty of nature amid the urban landscape.

The park features a tranquil lake at its center, surrounded by lush greenery and well-maintained gardens. Visitors can take leisurely strolls along paved pathways, have picnics on the well-manicured lawns, or simply sit by the lake and soak in the serene ambiance. Millennium Park offers a serene and scenic environment, making it an ideal spot for a quiet afternoon, a romantic outing, or a peaceful break from the city's hustle and bustle."
Kawasan Falls,"Bayan ng Alegria, Lalawigan ng Cebu",0,,20,40,0:00:00,23:59:59,9.803498766,123.374333,2-3 hours,0,1,0,0,1,0,0,"/location_images/Kawasan_Falls/Kawasan_Falls.jpg,/location_images/Kawasan_Falls/Kawasan_Falls_XgkqAu7.jpg",,,,,"Kawasan Falls is a breathtaking natural wonder nestled in the lush greenery of Badian, Cebu. It's one of the most iconic waterfalls in the Philippines and a popular destination for both nature enthusiasts and adventure seekers. What sets Kawasan Falls apart is its mesmerizing turquoise waters and the serene natural surroundings that create a captivating oasis.

Visitors to Kawasan Falls can enjoy a refreshing dip in the cool, crystal-clear pools beneath the cascading waterfalls. The main falls, with its multi-tiered drop, is a sight to behold and a favorite spot for swimmers and photographers alike. For the more adventurous, there's the option of canyoneering, where you can hike, climb, and even cliff dive through the scenic canyons surrounding the falls."
Terrazas de Flores Botanical Garden,"Cebu Transcentral Highway 6000 Malubog, Philippines",0,100,,,7:00:00,22:00:00,10.37905442,123.8686863,2-3 hours,0,1,0,0,0,0,0,"/location_images/Terrazas_de_Flores_Botanical_Garden/Terrazas_de_Flores_Botanical_Garden.jpg,/location_images/Terrazas_de_Flores_Botanical_Garden/Terrazas_de_Flores_Botanical_Garden_vgQSGsW.jpg",,,,,"Terrazas de Flores Botanical Garden is a hidden gem located in the picturesque mountains of Cebu, Philippines. This enchanting garden offers a serene and immersive experience for nature enthusiasts and those seeking tranquility in a lush and vibrant environment.

As you explore Terrazas de Flores, you'll encounter a rich tapestry of plants, flowers, and foliage from various regions. The garden is meticulously landscaped, featuring terraced levels that showcase a stunning array of colorful blooms. Each terrace is uniquely themed, allowing visitors to wander through different garden settings, from exotic orchids to aromatic herbs and tropical flora."
Genesis Valley,"Cabangahan, Consolacion, 6001 Lalawigan ng Cebu",0,,150,200,8:00:00,17:00:00,10.40137402,123.9317047,-,0,0,0,0,1,0,0,/location_images/Genesis_Valley/Genesis_Valley.jpg,,,,,"Genesis Valley is a tranquil and scenic retreat located amidst the natural beauty of Cebu's mountains. This serene destination offers a peaceful escape from the hustle and bustle of urban life, making it an ideal spot for those seeking relaxation, meditation, and a closer connection with nature.

The grounds of Genesis Valley are adorned with lush greenery, picturesque lakes, and forested areas that create a soothing and rejuvenating atmosphere. Visitors can take leisurely walks along well-maintained trails, have picnics by the lakeside, or simply unwind in the midst of nature's splendor. The serene ambiance and serene surroundings make it a favored location for yoga and meditation retreats, offering a tranquil space for introspection and relaxation."
Cebu Ocean Park,"SM Seaside Complex, F. Vestil St, Cebu City, Cebu",0,550,,,10:00:00,18:00:00,10.281376,123.8785156,2-3 hours,0,1,0,0,0,1,0,"/location_images/Cebu_Ocean_Park/Cebu_Ocean_Park.jpg,/location_images/Cebu_Ocean_Park/Cebu_Ocean_Park_MRjSHf0.jpg,/location_images/Cebu_Ocean_Park/Cebu_Ocean_Park_pJ7aA4L.jpg",,,,,"Cebu Ocean Park is a captivating marine attraction located in Cebu City, Philippines. It is a world-class aquatic destination that allows visitors to explore the wonders of the underwater realm and get up close to a diverse range of marine life from the Philippines and around the world.

The park offers a variety of immersive experiences, including underwater tunnels that provide stunning views of sea creatures swimming overhead, interactive touch pools where you can interact with marine animals, and engaging educational exhibits that highlight the importance of marine conservation. Cebu Ocean Park is not only an entertaining destination but also an educational one, offering insights into the rich marine biodiversity of the Philippines and the need to protect and preserve these precious ecosystems."
Carmelite Monastery,"Pope John Paul II Avenue, Mabolo 6000 Cebu City, Philippines",0,0,,,5:30:00,18:00:00,10.31872802,123.9114729,1-2 hours,0,0,1,0,0,0,0,/location_images/Carmelite_Monastery/Carmelite_Monastery.jpg,,,,,"The Carmelite Monastery in Cebu is a serene and spiritually significant destination nestled atop a hill in the city. This peaceful retreat offers visitors a tranquil escape from the noise and busyness of everyday life, making it a favored spot for those seeking solitude, reflection, and a closer connection with their faith.

The monastery is known for its breathtaking panoramic views of Cebu City and the surrounding landscapes. It's a place where visitors can take in the beauty of the natural environment and find moments of serenity while enjoying the quietude of the hilltop setting."
Virgen de la Regla National Shrine,"B.M. Dimataga St., Poblacion 6015 Lapu-Lapu City, Philippines",0,0,,,0:00:00,23:59:59,10.312532,123.9486724,-,0,0,1,0,0,0,1,/location_images/Virgen_de_la_Regla_National_Shrine/Virgen_de_la_Regla_National_Shrine.jpg,,,,,"The Virgen de la Regla National Shrine is a revered religious site located in Lapu-Lapu City, Cebu, Philippines. This shrine is dedicated to the Virgen de la Regla, who is the patroness of sailors and a highly venerated figure in Filipino Catholicism. It holds significant religious and cultural importance for the local community and pilgrims from around the country.

The shrine features a beautifully designed church where devotees and visitors can attend religious services, offer prayers, and seek spiritual solace. The image of the Virgen de la Regla is prominently displayed, and the shrine often hosts religious processions and festivities in her honor, especially during her feast day in November."
Buwakan ni Alejandra,"Sitio Bunga Barangay, Balamban, 6041 Cebu",0,,75,100,7:00:00,17:30:00,10.43054061,123.7761233,1-2 hours,0,1,0,0,0,0,0,"/location_images/Buwakan_ni_Alejandra/Buwakan_ni_Alejandra.jpg,/location_images/Buwakan_ni_Alejandra/Buwakan_ni_Alejandra_GESQ9gc.jpg",,,,,"Buwakan ni Alejandra is a captivating garden paradise located in Balamban, Cebu, Philippines. This enchanting destination is celebrated for its lush landscapes and vibrant displays of flora, making it a favorite spot for nature enthusiasts, botany aficionados, and anyone seeking a serene escape into a world of blossoms.

The garden is a tapestry of colorful blooms, fragrant flowers, and exotic plants that span across terraced levels. Visitors can stroll along well-manicured pathways, each leading to different garden sections, including themed areas like the Japanese Garden and the European Garden. Buwakan ni Alejandra provides a unique opportunity to immerse yourself in a stunning array of flowers, from delicate orchids to tropical blooms, creating a sensory delight for nature lovers and photographers."
Tumalog Falls,"Brgy Natalio Bacalso Avenue, Oslob, Cebu",0,,20,50,7:00:00,16:00:00,9.48600603,123.3696317,1-3 hours,0,1,0,0,1,0,0,"/location_images/Tumalog_Falls/Tumalog_Falls.jpg,/location_images/Tumalog_Falls/Tumalog_Falls_wpkmGjX.jpg",,,,,"Tumalog Falls, also known as ""Toslob Falls,"" is a mesmerizing waterfall tucked away in the lush mountains of Oslob, Cebu, Philippines. This natural wonder is renowned for its ethereal beauty, characterized by delicate, cascading veils of water that resemble a curtain of fine threads, creating a dreamy and enchanting atmosphere.

One of the unique features of Tumalog Falls is its narrow, almost fairy-tale-like appearance as the water gracefully descends from the rocky cliffs above. The falls form a natural pool at its base, inviting visitors to take a refreshing dip in its cool, crystal-clear waters. The serene surroundings, combined with the soothing sound of the falling water, make it a peaceful oasis where you can relax and immerse yourself in the beauty of nature."
